source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,distance_pc,abs_mag
1363428778183680,43.9561618872691,2.407898577301313,2.2017179751696663,0.016453378,12.691463,0.7913914,454.19077796416644,4.405271910867951
1438676605210624,42.80108375532476,2.232266758753778,3.821068391344648,0.015907897,11.586171,0.7751999,261.7069095819288,4.49709520506906
1477228232488320,43.25413702088057,2.6274614199420556,1.8143617641826306,0.014915374,12.592222,0.7882166,551.1579993257296,3.8858416387326074
1031032669377408,46.962954744660266,2.955692575626281,0.4315367276757358,0.06530916,16.2458,0.7813301,2317.2998631797045,4.420888838359446
1154732023082752,43.70494876426889,1.6202296882077356,0.42694998659952915,0.069427826,16.729752,0.7961235,2342.1947098876026,4.881636608222081
1215857997584768,43.03696784163474,1.7579204873198628,1.279846651870867,0.016687475,13.378886,0.78865814,781.3436074847014,3.9146759060945033
1430468923386240,42.58308630530259,2.0577255629813394,0.5734671543501223,0.032345843,15.445983,0.7632818,1743.7790332268341,4.238525675503773
1457063360896000,43.29982983343053,2.3892265006088063,1.2215584842137042,0.016925938,13.967847,0.79755974,818.6263800899246,4.402418192435302
994817504983808,46.61187207648764,2.6146511787103193,2.8400669101859717,0.015576514,12.250138,0.7950411,352.10438050366866,4.5167811421347395
1090925988807296,46.42045951981127,3.0189743101768194,0.6159352062551702,0.027302502,14.682081,0.7786083,1623.5473956423252,3.629756365776192
1174725095638144,44.048000295720094,1.7661295016606726,2.202539473093549,0.01658763,11.477312,0.77115726,454.0213749701669,3.191930590103034
1180192589210240,43.725118192235115,1.7218974238418174,1.4975486212758014,0.014681772,12.91566,0.74580765,667.7579517572348,3.7925645626548103
1190466150967808,44.09470510438093,1.9501858594000492,1.1917893970227478,0.016685022,12.763425,0.7404213,839.0744224593172,3.144422459971441
1257398921261312,43.41383253534542,2.19155036078922,1.2258843742501602,0.018091422,13.467122,0.7779703,815.7376184941362,3.909369624640078
1316154073788288,44.70150349321669,2.3686622457819673,0.5662236848228438,0.021813532,14.651658,0.76798725,1766.0864898522802,3.4165982166988016
1457887994614016,43.31304959425233,2.4455058766869557,1.1235577004890647,0.012541376,13.135909,0.69838715,890.029946450207,3.388885983464636
1479053593387392,42.506108426383236,2.1675611480435464,0.8474292272685411,0.020226628,14.025739,0.77774334,1180.0395452765176,3.666255908376206
1104395006235776,46.48646048250413,3.260582573568741,5.533988269056464,0.01888694,9.95559,0.69290924,180.70150339702442,3.6707814190521244
1209810683657600,43.297813036142585,1.7497394977217482,1.8874715532867126,0.014717206,12.384482,0.76565933,529.8093093157718,3.7638844584958626
1302994294003456,44.59422529551474,2.140131995784643,0.35477789487008,0.05134942,16.14199,0.76498413,2818.6649012227804,3.891773423803169
1423700055136000,43.09261433923178,2.1713419436309183,0.38231957103032443,0.040420953,15.850516,0.7468157,2615.6128950057937,3.76264897040749
6993581147427712,45.417228741300335,6.038336439898469,1.2257784960390785,0.01945792,12.912809,0.74805164,815.8080788913753,3.354869362994254
7007466777376384,45.54707834729603,6.126249489946311,0.870902061772701,0.02696597,14.572345,0.78881454,1148.234737169554,4.272191373472715
7186412294819072,45.18195810571037,6.141874338872917,0.8176115222840429,0.016947221,13.673666,0.76084995,1223.0747399528384,3.236401016258723
1869277142129536,45.96634066634415,3.3802684155835983,1.348268766160186,0.017363839,12.974854,0.67758465,741.69188302712,3.6237368384025466
1931193390573824,45.27608146483427,3.7152440313439223,2.5225385118213666,0.028633676,11.335712,0.71999645,396.42605863644985,3.3449014597228803
1999878507663744,44.433123952595594,3.447731557050879,0.2725437024943599,0.05111925,16.251497,0.71961784,3669.1363287716927,3.4286780261503225
2043068698762880,44.06650765089703,3.3959489911490315,0.39724158662053605,0.07116401,16.422876,0.7831259,2517.3597973649403,4.418149897209442
2052998663144576,44.174621086014426,3.584278590367072,0.40197772451052244,0.02983529,15.072605,0.6113138,2487.7000366566913,3.093615070242656
1846977671916160,45.83983207095472,3.3989500252275238,1.334725365112551,0.019831827,12.799173,0.66085625,749.2177987609269,3.426132924481381
1886452715633920,45.98742960142836,3.630457835274084,3.218949822290764,0.09099145,11.400078,0.76201344,310.6603256363749,3.9386488541188864
1939783325198080,45.64179818640746,3.700779052489014,0.3684644145505335,0.042435043,15.70461,0.7693138,2713.9662895800584,3.536587626179095
